SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_300_7,44850,232200,22335,86900,2102,99500,2547,36800,2383,53200,
seq_300_8,44850,234700,22029,107500,2126,88000,2735,27700,2626,54800,
seq_300_9,44850,228800,21400,57800,2084,52900,2701,18600,2257,28300,
seq_300_10,44850,200600,22799,115100,2087,73900,2536,25000,2456,40700,
seq_300_11,44850,234500,22699,121700,2106,74200,2831,24400,2153,43700,
seq_300_12,44850,186000,21965,51500,2091,52900,2616,19100,2317,29800,
seq_300_13,44850,200100,23015,95300,2085,93800,2291,22100,2105,42500,
seq_300_14,44850,191300,21820,95500,2077,74700,2342,25800,2202,43000,
seq_300_15,44850,141600,21135,50500,2092,54100,2649,19000,2034,28300,
seq_300_16,44850,132600,23501,55400,2113,64800,2439,17800,2332,28200,
seq_300_17,44850,343900,21604,220300,2078,75600,2372,37700,2694,41800,
seq_300_18,44850,164600,22033,51900,2097,63100,2960,17700,2169,28800,
seq_300_19,44850,187800,22020,76400,2096,94800,2698,24700,2325,39100,
seq_300_20,44850,180100,22017,80600,2087,119900,2410,30200,2284,494200,
seq_300_21,44850,194100,22490,110700,2107,54800,2411,19100,2295,30000,
seq_300_22,44850,223300,24205,69500,2100,84700,2843,23400,2602,39200,
seq_300_23,44850,146900,21752,51500,2100,55400,2515,19100,2503,28500,
seq_300_24,44850,164500,23020,54000,2108,53900,2712,18100,2193,27800,
seq_300_25,44850,181700,22505,54000,2107,60000,2995,19900,2052,26900,
seq_300_26,44850,174200,23263,55800,2098,52100,2826,18900,2122,30900,
seq_300_27,44850,168700,22058,71900,2084,57500,2805,23000,2433,28700,
seq_300_28,44850,180900,23731,78600,2102,76600,2750,22200,2259,35800,
seq_300_29,44850,190500,23036,72300,2106,77800,2875,22200,2610,39400,
seq_300_30,44850,232200,23187,74700,2104,68200,2452,27800,2431,37800,
seq_300_31,44850,252200,23453,55200,2086,56900,2411,23700,2150,39700,
seq_300_32,44850,127300,22788,65000,2109,72800,2655,25800,2454,37600,
seq_300_33,44850,177100,21869,80900,2108,57700,2789,19200,2392,27900,
seq_300_34,44850,226900,22162,96800,2094,91500,2379,24500,2479,63200,
seq_300_35,44850,152400,22760,53100,2100,52300,2667,18000,2562,28700,
seq_300_36,44850,182300,23318,109800,2106,94500,2889,24100,2228,40500,
